username,score,bio,friends_count,streaks,label
earn_fast_2024,16,earn $500/day 👇,4,0,1
daniel_f,500,Yoga instructor | wellness coach 🧘,663,1756,0
photo_by_anna,500,Medical student | future doctor 🩺,862,1617,0
paul_runs,786,Marketing professional | keynote speaker,217,392,0
free_followers_now,126,🔞 link in bio,11,0,1
grace_beauty,500,News journalist @NYT,600,1294,0
grace_beauty,2561,Chef | Recipe creator 🍳,386,124,0
dev_pete,902,Gaming streamer | Twitch partner 🎮,811,788,0
lena_captures,1648,Fashion designer | PR welcome,515,1603,0
emma.j,16347,Marketing professional | keynote speaker,785,695,0
everyday_elena,1084,Freelance illustrator | art prints available,441,663,0
lisa_writes,2692,fitness coach 💪 DM for plans,266,505,0
99882736450,226,,3,0,1
xXx_profit_xXx,116,promo available 📩,10,0,1
a8f7d3k9p2,24,FREE BTC airdrop → link in bio,4,0,1
fit_jessica,602,News journalist @NYT,741,372,0
chris_builds,552,News journalist @NYT,807,1557,0
earn_fast_2024,183,Real estate investor | DM for passive income secrets,0,0,1
everyday_elena,500,Entrepreneur | Founder @startup,742,1162,0
grace_beauty,500,Blogger | Lifestyle & wellness,862,1627,0
xXx_profit_xXx,86,DM me to grow your account fast,11,0,1
real_human_01234,274,🔞 link in bio,3,0,1
bot_account_7,145,NFT investor | crypto tips,3,0,1
99882736450,42,,10,0,1
tom_techie,500,Dance teacher | choreographer,504,349,0
b.scott.official,1226,Artist | Digital creator ✨,225,2387,0
tradebot_fx,267,Real estate investor | DM for passive income secrets,8,0,1
lisa_writes,789,Fashion designer | PR welcome,621,1963,0
lena_captures,2121,Freelance illustrator | art prints available,612,770,0
earn_fast_2024,282,crypto signals ✅ 99% win rate,3,0,1
chef_marco,715,Artist | Digital creator ✨,276,680,0
acc29471838,39,btc eth airdrop free coins,14,0,1
follow_back_101,13,DM me to grow your account fast,10,0,1
tom_techie,500,mom of 3 | foodie 🍕,10,1670,0
sarah_smith,500,software engineer @ Google,903,2403,0
mindful_maya,500,Gaming streamer | Twitch partner 🎮,268,2197,0
free_followers_now,53,promo available 📩,4,0,1
follow_back_101,51,crypto signals ✅ 99% win rate,11,0,1
real_human_01234,148,follow for follow back,3,0,1
9182736450,91,Get free followers — click bio link,2,0,1
free_followers_now,280,,8,0,1
acc29471838,52,DM me to grow your account fast,0,0,1
the_real_sam,1917,Fashion designer | PR welcome,96,1674,0
99882736450,94,investment advisor DM me,11,0,1
tom_techie,1355,Traveler | 50+ countries visited ✈️,380,727,0
crypto_king_9999,196,📈 passive income daily,10,0,1
emma.j,1105,Dance teacher | choreographer,137,60,0
surf_with_evan,500,mom of 3 | foodie 🍕,540,2375,0
a8f7d3k9p2,144,btc eth airdrop free coins,9,0,1
nina_art,4287,mom of 3 | foodie 🍕,670,2201,0
lisa_writes,5385,UX designer @Meta,186,1691,0
9182736450,166,btc eth airdrop free coins,5,0,1
chris_builds,500,Dance teacher | choreographer,466,327,0
photo_by_anna,7657,photographer | travel 📷,110,2057,0
free_follower_bot,220,,5,0,1
grace_beauty,500,mom of 3 | foodie 🍕,903,1758,0
dev_pete,675,Environmental activist 🌱,992,1231,0
journeys_with_kai,2528,Teacher & lifelong learner 📚,580,1422,0
airdrop_winner99,137,earn $500/day 👇,4,0,1
mark_adventure,643,Gaming streamer | Twitch partner 🎮,193,1650,0
1234567890ab,291,Click link below 💰,1,0,1
amy_joy,500,Chef | Recipe creator 🍳,85,2090,0
chef_marco,500,Teacher & lifelong learner 📚,296,791,0
creative_dan,4351,Environmental activist 🌱,834,726,0
99882736450,7,Get free followers — click bio link,5,0,1
99882736450,62,investment advisor DM me,8,0,1
q7w8e9r0t1y2,174,,9,0,1
nft_dropper_69,82,FREE BTC airdrop → link in bio,5,0,1
nft_dropper_69,95,Click link below 💰,1,0,1
nina_art,500,Dog lover 🐾 | Hiking | Books,229,648,0
user8374629,68,DM me to grow your account fast,11,0,1
1234567890ab,9,earn $500/day 👇,1,0,1
journeys_with_kai,1421,Fashion designer | PR welcome,359,2237,0
99882736450,243,investment advisor DM me,6,0,1
q7w8e9r0t1y2,165,Real estate investor | DM for passive income secrets,0,0,1
journeys_with_kai,787,Musician. Coffee addict. ☕,204,2196,0
tradebot_fx,162,btc eth airdrop free coins,4,0,1
fit_jessica,553,Dog lover 🐾 | Hiking | Books,780,2438,0
crypto_king_9999,20,Get free followers — click bio link,13,0,1
sarah_smith,500,Marketing professional | keynote speaker,524,1077,0
user8374629,4,♻️ repost to win $1000,1,0,1
q7w8e9r0t1y2,254,,14,0,1
grace_beauty,500,fitness coach 💪 DM for plans,286,1430,0
earn_fast_2024,85,DM me to grow your account fast,12,0,1
nft_dropper_69,135,DM me to grow your account fast,0,0,1
chris_builds,500,Entrepreneur | Founder @startup,658,1998,0
mark_adventure,500,UX designer @Meta,700,2060,0
nft_dropper_69,210,investment advisor DM me,3,0,1
follow_back_101,205,NFT investor | crypto tips,11,0,1
earn_fast_2024,83,follow for follow back,1,0,1
acc29471838,44,Real estate investor | DM for passive income secrets,6,0,1
mike_2023,500,Podcaster | interviewing founders,354,769,0
mindful_maya,1757,Freelance illustrator | art prints available,138,1223,0
airdrop_winner99,210,,8,0,1
sarah_smith,500,Dog lover 🐾 | Hiking | Books,102,567,0
journeys_with_kai,527,Environmental activist 🌱,921,198,0
lisa_writes,500,Musician. Coffee addict. ☕,455,1003,0
bot_account_7,66,,0,0,1
mindful_maya,808,Architect | sustainable design,765,1707,0
paul_runs,1061,Nurse practitioner | women's health advocate,765,2036,0
q7w8e9r0t1y2,296,Get free followers — click bio link,14,0,1
get_rich_88,160,DM me to grow your account fast,0,0,1
chef_marco,791,Blogger | Lifestyle & wellness,662,531,0
chef_marco,1745,High school teacher | making STEM fun,734,733,0
dev_pete,500,Artist | Digital creator ✨,228,499,0
surf_with_evan,1139,Blogger | Lifestyle & wellness,258,652,0
chris_builds,754,Artist | Digital creator ✨,445,808,0
xXx_profit_xXx,167,,8,0,1
free_follower_bot,130,FREE BTC airdrop → link in bio,7,0,1
earn_fast_2024,40,DM me to grow your account fast,14,0,1
dev_pete,2292,Freelance illustrator | art prints available,611,2301,0
follow_back_101,46,promo available 📩,13,0,1
everyday_elena,500,News journalist @NYT,809,1553,0
daniel_f,500,Nurse practitioner | women's health advocate,766,763,0
lisa_writes,500,Data scientist | ML researcher,877,2254,0
daniel_f,500,Fashion designer | PR welcome,66,950,0
1234567890ab,34,🔞 link in bio,10,0,1
1234567890ab,284,,10,0,1
chris_builds,500,Fashion designer | PR welcome,342,1133,0
code_master,500,Musician. Coffee addict. ☕,735,1246,0
a8f7d3k9p2,144,,9,0,1
mike_2023,500,Dog lover 🐾 | Hiking | Books,904,639,0
everyday_elena,747,News journalist @NYT,596,1715,0
sarah_smith,1169,Chef | Recipe creator 🍳,700,532,0
airdrop_winner99,68,DM me to grow your account fast,12,0,1
zz_promo_zz,281,🔞 link in bio,8,0,1
xXx_profit_xXx,211,btc eth airdrop free coins,13,0,1
mark_adventure,500,fitness coach 💪 DM for plans,215,1834,0
paul_runs,500,Yoga instructor | wellness coach 🧘,587,1642,0
zz_promo_zz,55,crypto signals ✅ 99% win rate,9,0,1
nina_art,2737,Musician. Coffee addict. ☕,823,1747,0
nft_dropper_69,78,,0,0,1
daniel_f,500,Podcaster | interviewing founders,583,496,0
earn_fast_2024,27,btc eth airdrop free coins,2,0,1
nft_dropper_69,7,investment advisor DM me,10,0,1
nft_dropper_69,243,📈 passive income daily,5,0,1
lisa_writes,500,Freelance illustrator | art prints available,486,1046,0
earn_fast_2024,14,promo available 📩,9,0,1
sarah_smith,870,Yoga instructor | wellness coach 🧘,278,1516,0
q7w8e9r0t1y2,257,,5,0,1
john_doe,818,Developer | Open source enthusiast,734,2222,0
mike_2023,2873,Architect | sustainable design,312,1329,0
real_human_01234,175,Get free followers — click bio link,12,0,1
chef_marco,500,Blogger | Lifestyle & wellness,123,1779,0
daniel_f,500,Medical student | future doctor 🩺,319,348,0
9182736450,199,,3,0,1
code_master,1121,Artist | Digital creator ✨,945,1732,0
code_master,500,Podcaster | interviewing founders,479,2207,0
9182736450,101,earn $500/day 👇,11,0,1
b.scott.official,500,Blogger | Lifestyle & wellness,325,527,0
follow_back_101,102,🔞 link in bio,6,0,1
bot_account_7,26,FREE BTC airdrop → link in bio,6,0,1
grace_beauty,500,photographer | travel 📷,319,260,0
earn_fast_2024,192,🔞 link in bio,4,0,1
john_doe,500,Nurse practitioner | women's health advocate,106,1273,0
bot_account_7,200,🔞 link in bio,7,0,1
q7w8e9r0t1y2,111,📈 passive income daily,3,0,1
daniel_f,1372,Fashion designer | PR welcome,165,1271,0
sarah_smith,4566,Dance teacher | choreographer,331,1453,0
real_human_01234,255,promo available 📩,11,0,1
99882736450,212,,9,0,1
lisa_writes,669,Environmental activist 🌱,648,669,0
crypto_king_9999,91,NFT investor | crypto tips,13,0,1
john_doe,1030,Fashion designer | PR welcome,424,2346,0
airdrop_winner99,180,investment advisor DM me,13,0,1
earn_fast_2024,247,📈 passive income daily,2,0,1
free_follower_bot,292,Get free followers — click bio link,0,0,1
amy_joy,500,High school teacher | making STEM fun,385,1487,0
journeys_with_kai,9608,Nurse practitioner | women's health advocate,953,1927,0
botanist_beth,1033,Artist | Digital creator ✨,459,1163,0
9182736450,113,earn $500/day 👇,5,0,1
a8f7d3k9p2,18,NFT investor | crypto tips,9,0,1
acc29471838,60,Real estate investor | DM for passive income secrets,5,0,1
amy_joy,500,Musician. Coffee addict. ☕,645,2410,0
q7w8e9r0t1y2,239,Click link below 💰,3,0,1
user8374629,63,Click link below 💰,10,0,1
real_human_01234,146,NFT investor | crypto tips,11,0,1
botanist_beth,500,Data scientist | ML researcher,397,1688,0
code_master,1211,Podcaster | interviewing founders,146,1392,0
real_human_01234,96,Get free followers — click bio link,10,0,1
fit_jessica,500,Dog lover 🐾 | Hiking | Books,684,801,0
get_rich_88,287,crypto signals ✅ 99% win rate,7,0,1
airdrop_winner99,286,,0,0,1
amy_joy,778,Podcaster | interviewing founders,148,522,0
user8374629,99,,0,0,1
free_follower_bot,253,,10,0,1
daniel_f,500,Blogger | Lifestyle & wellness,90,3,0
fit_jessica,2838,mom of 3 | foodie 🍕,231,831,0
earn_fast_2024,29,earn $500/day 👇,5,0,1
everyday_elena,2037,Dance teacher | choreographer,263,1930,0
paul_runs,500,Data scientist | ML researcher,471,310,0
free_follower_bot,152,,5,0,1
a8f7d3k9p2,205,earn $500/day 👇,0,0,1
xXx_profit_xXx,158,,7,0,1
free_follower_bot,279,investment advisor DM me,5,0,1
code_master,1923,Marketing professional | keynote speaker,843,1657,0
lisa_writes,500,UX designer @Meta,194,1814,0
tom_techie,500,Fashion designer | PR welcome,884,1213,0
free_follower_bot,288,Click link below 💰,0,0,1
99882736450,184,Get free followers — click bio link,14,0,1
tom_techie,1405,High school teacher | making STEM fun,169,1623,0
paul_runs,500,Retired engineer | amateur astronomer 🔭,32,2276,0
grace_beauty,500,Entrepreneur | Founder @startup,602,2431,0
airdrop_winner99,7,crypto signals ✅ 99% win rate,10,0,1
crypto_king_9999,66,Click link below 💰,7,0,1
mark_adventure,1579,UX designer @Meta,566,1163,0
zz_promo_zz,269,promo available 📩,7,0,1
earn_fast_2024,128,earn $500/day 👇,9,0,1
free_followers_now,131,Get free followers — click bio link,4,0,1
john_doe,500,Dog lover 🐾 | Hiking | Books,868,1956,0
creative_dan,500,Marketing professional | keynote speaker,948,292,0
airdrop_winner99,62,crypto signals ✅ 99% win rate,1,0,1
free_follower_bot,175,crypto signals ✅ 99% win rate,7,0,1
1234567890ab,144,Get free followers — click bio link,12,0,1
mike_2023,500,Wildlife photographer based in Kenya,58,1034,0
real_human_01234,248,follow for follow back,1,0,1
john_doe,500,photographer | travel 📷,81,1975,0
q7w8e9r0t1y2,54,,7,0,1
crypto_king_9999,272,Get free followers — click bio link,9,0,1
tradebot_fx,23,,2,0,1
free_followers_now,71,Click link below 💰,0,0,1
mindful_maya,500,Wildlife photographer based in Kenya,568,621,0
xXx_profit_xXx,147,,4,0,1
dev_pete,500,Environmental activist 🌱,492,917,0
chef_marco,569,mom of 3 | foodie 🍕,905,2459,0
mindful_maya,10618,Yoga instructor | wellness coach 🧘,667,13,0
grace_beauty,2621,Developer | Open source enthusiast,223,238,0
airdrop_winner99,142,,11,0,1
tom_techie,500,UX designer @Meta,235,2302,0
get_rich_88,39,btc eth airdrop free coins,0,0,1
mark_adventure,500,Artist | Digital creator ✨,74,665,0
journeys_with_kai,1120,Traveler | 50+ countries visited ✈️,631,781,0
paul_runs,500,Architect | sustainable design,238,1282,0
real_human_01234,119,Real estate investor | DM for passive income secrets,6,0,1
code_master,500,Medical student | future doctor 🩺,865,1778,0
the_real_sam,1859,Nurse practitioner | women's health advocate,356,1107,0
real_human_01234,153,DM me to grow your account fast,0,0,1
creative_dan,5871,Nurse practitioner | women's health advocate,341,686,0
fit_jessica,38832,Wildlife photographer based in Kenya,25,376,0
bot_account_7,235,Click link below 💰,1,0,1
airdrop_winner99,125,♻️ repost to win $1000,6,0,1
1234567890ab,48,crypto signals ✅ 99% win rate,1,0,1
the_real_sam,3069,photographer | travel 📷,942,752,0
zz_promo_zz,67,NFT investor | crypto tips,7,0,1
fit_jessica,500,Architect | sustainable design,188,2461,0
b.scott.official,500,Traveler | 50+ countries visited ✈️,230,1633,0
9182736450,97,🔞 link in bio,0,0,1
emma.j,500,photographer | travel 📷,268,1867,0
earn_fast_2024,46,,5,0,1
follow_back_101,115,NFT investor | crypto tips,9,0,1
mark_adventure,500,mom of 3 | foodie 🍕,491,2011,0
emma.j,500,Medical student | future doctor 🩺,23,931,0
amy_joy,500,Musician. Coffee addict. ☕,949,1174,0
99882736450,141,♻️ repost to win $1000,5,0,1
zz_promo_zz,256,🔞 link in bio,0,0,1
alex_travel,500,Dance teacher | choreographer,945,2058,0
nina_art,500,Blogger | Lifestyle & wellness,634,326,0
acc29471838,263,,7,0,1
earn_fast_2024,81,,10,0,1
free_follower_bot,45,Get free followers — click bio link,5,0,1
99882736450,275,🔞 link in bio,2,0,1
lena_captures,500,Fashion designer | PR welcome,316,1422,0
paul_runs,500,Yoga instructor | wellness coach 🧘,532,1596,0
chef_marco,500,Nurse practitioner | women's health advocate,54,1483,0
dev_pete,500,Marketing professional | keynote speaker,878,401,0
surf_with_evan,500,Teacher & lifelong learner 📚,819,2288,0
dev_pete,500,Dance teacher | choreographer,762,2341,0
acc29471838,193,FREE BTC airdrop → link in bio,8,0,1
lisa_writes,1008,Environmental activist 🌱,464,1620,0
free_follower_bot,8,Get free followers — click bio link,5,0,1
lena_captures,500,Marketing professional | keynote speaker,305,1187,0
real_human_01234,221,,13,0,1
zz_promo_zz,146,,5,0,1
mindful_maya,500,Entrepreneur | Founder @startup,347,269,0
bot_account_7,158,,7,0,1
free_follower_bot,109,investment advisor DM me,3,0,1
user8374629,266,♻️ repost to win $1000,10,0,1
journeys_with_kai,1495,Retired engineer | amateur astronomer 🔭,443,2143,0
zz_promo_zz,115,,3,0,1
tradebot_fx,176,FREE BTC airdrop → link in bio,6,0,1
q7w8e9r0t1y2,95,FREE BTC airdrop → link in bio,8,0,1
free_followers_now,89,follow for follow back,4,0,1
tom_techie,765,Dog lover 🐾 | Hiking | Books,732,1797,0
amy_joy,620,Retired engineer | amateur astronomer 🔭,372,1116,0
free_followers_now,242,🔞 link in bio,5,0,1
free_follower_bot,117,,8,0,1
nina_art,500,Wildlife photographer based in Kenya,73,817,0
botanist_beth,1000,Traveler | 50+ countries visited ✈️,705,970,0
free_follower_bot,220,investment advisor DM me,0,0,1
daniel_f,3917,Chef | Recipe creator 🍳,152,2252,0
tradebot_fx,110,🔞 link in bio,12,0,1
q7w8e9r0t1y2,58,,11,0,1
acc29471838,59,,3,0,1
photo_by_anna,529,Architect | sustainable design,568,1033,0
daniel_f,500,Traveler | 50+ countries visited ✈️,842,332,0
mark_adventure,500,UX designer @Meta,235,1380,0
lena_captures,500,Podcaster | interviewing founders,319,43,0
tradebot_fx,76,promo available 📩,2,0,1
1234567890ab,43,,5,0,1
creative_dan,4627,Dance teacher | choreographer,316,2121,0
sarah_smith,920,Podcaster | interviewing founders,376,550,0
everyday_elena,500,Environmental activist 🌱,29,496,0
nina_art,500,photographer | travel 📷,165,425,0
chris_builds,1749,Chef | Recipe creator 🍳,771,1911,0
lisa_writes,500,software engineer @ Google,626,1420,0
journeys_with_kai,500,Environmental activist 🌱,517,1563,0
99882736450,68,Get free followers — click bio link,9,0,1
nft_dropper_69,54,🔞 link in bio,11,0,1
alex_travel,3865,Traveler | 50+ countries visited ✈️,906,691,0
free_followers_now,298,Real estate investor | DM for passive income secrets,8,0,1
free_follower_bot,26,,5,0,1
chef_marco,500,mom of 3 | foodie 🍕,440,1837,0
tom_techie,3191,Retired engineer | amateur astronomer 🔭,705,2110,0
q7w8e9r0t1y2,239,investment advisor DM me,12,0,1
lena_captures,754,Dance teacher | choreographer,106,2175,0
dev_pete,1892,Yoga instructor | wellness coach 🧘,513,1014,0
nft_dropper_69,24,,11,0,1
daniel_f,500,mom of 3 | foodie 🍕,306,1205,0
nina_art,6927,Artist | Digital creator ✨,799,2234,0
code_master,500,Podcaster | interviewing founders,854,129,0
xXx_profit_xXx,20,investment advisor DM me,1,0,1
lisa_writes,643,Marketing professional | keynote speaker,444,1865,0
tom_techie,714,Artist | Digital creator ✨,660,2243,0
bot_account_7,58,,4,0,1
nina_art,500,Nurse practitioner | women's health advocate,182,313,0
bot_account_7,98,btc eth airdrop free coins,0,0,1
99882736450,244,♻️ repost to win $1000,9,0,1
user8374629,26,🔞 link in bio,0,0,1
99882736450,124,Real estate investor | DM for passive income secrets,3,0,1
9182736450,42,,9,0,1
1234567890ab,67,follow for follow back,10,0,1
alex_travel,1320,Developer | Open source enthusiast,649,2047,0
1234567890ab,296,Real estate investor | DM for passive income secrets,7,0,1
free_followers_now,290,,9,0,1
b.scott.official,500,Dance teacher | choreographer,937,836,0
get_rich_88,269,,13,0,1
xXx_profit_xXx,211,Real estate investor | DM for passive income secrets,10,0,1
zz_promo_zz,295,,6,0,1
lena_captures,500,News journalist @NYT,230,1874,0
chris_builds,500,fitness coach 💪 DM for plans,878,1707,0
9182736450,179,♻️ repost to win $1000,9,0,1
botanist_beth,740,Chef | Recipe creator 🍳,741,2328,0
journeys_with_kai,500,Artist | Digital creator ✨,398,1372,0
airdrop_winner99,144,NFT investor | crypto tips,1,0,1
tom_techie,1335,Dog lover 🐾 | Hiking | Books,462,358,0
nft_dropper_69,73,NFT investor | crypto tips,6,0,1
daniel_f,1896,Data scientist | ML researcher,758,256,0
emma.j,2684,Fashion designer | PR welcome,626,2052,0
zz_promo_zz,163,,4,0,1
code_master,500,photographer | travel 📷,968,1898,0
airdrop_winner99,185,📈 passive income daily,2,0,1
tom_techie,812,Teacher & lifelong learner 📚,912,1870,0
real_human_01234,138,FREE BTC airdrop → link in bio,10,0,1
mike_2023,500,Dance teacher | choreographer,483,915,0
airdrop_winner99,103,,11,0,1
nft_dropper_69,273,promo available 📩,13,0,1
crypto_king_9999,66,promo available 📩,9,0,1
daniel_f,1545,Environmental activist 🌱,336,574,0
real_human_01234,245,,14,0,1
xXx_profit_xXx,200,DM me to grow your account fast,6,0,1
botanist_beth,1061,Gaming streamer | Twitch partner 🎮,354,857,0
fit_jessica,1786,Retired engineer | amateur astronomer 🔭,922,2456,0
the_real_sam,500,Retired engineer | amateur astronomer 🔭,793,1009,0
john_doe,500,UX designer @Meta,313,1277,0
real_human_01234,77,promo available 📩,9,0,1
nina_art,500,Retired engineer | amateur astronomer 🔭,43,504,0
lena_captures,500,mom of 3 | foodie 🍕,573,67,0
mike_2023,1286,Blogger | Lifestyle & wellness,607,246,0
surf_with_evan,5980,Freelance illustrator | art prints available,963,904,0
alex_travel,500,Dance teacher | choreographer,635,2456,0
daniel_f,591,Entrepreneur | Founder @startup,219,591,0
nina_art,1090,Blogger | Lifestyle & wellness,907,1848,0
nina_art,500,Data scientist | ML researcher,915,2213,0
botanist_beth,500,Gaming streamer | Twitch partner 🎮,606,1486,0
user8374629,34,crypto signals ✅ 99% win rate,8,0,1
q7w8e9r0t1y2,260,promo available 📩,12,0,1
lena_captures,928,Teacher & lifelong learner 📚,501,2212,0
daniel_f,500,Yoga instructor | wellness coach 🧘,457,656,0
lisa_writes,633,Podcaster | interviewing founders,13,580,0
amy_joy,952,Traveler | 50+ countries visited ✈️,71,2257,0
free_follower_bot,117,crypto signals ✅ 99% win rate,1,0,1
nft_dropper_69,218,crypto signals ✅ 99% win rate,11,0,1
a8f7d3k9p2,89,📈 passive income daily,10,0,1
code_master,1396,Developer | Open source enthusiast,786,96,0
nina_art,708,Nurse practitioner | women's health advocate,199,1471,0
a8f7d3k9p2,219,crypto signals ✅ 99% win rate,0,0,1
1234567890ab,6,📈 passive income daily,0,0,1
chef_marco,1319,Dog lover 🐾 | Hiking | Books,385,2372,0
journeys_with_kai,772,Architect | sustainable design,860,311,0
dev_pete,500,software engineer @ Google,645,103,0
john_doe,500,Blogger | Lifestyle & wellness,596,1660,0
free_follower_bot,102,promo available 📩,8,0,1
emma.j,1097,Podcaster | interviewing founders,949,1026,0
earn_fast_2024,126,Real estate investor | DM for passive income secrets,7,0,1
sarah_smith,1244,Wildlife photographer based in Kenya,59,418,0
the_real_sam,500,UX designer @Meta,730,1646,0
nina_art,500,Wildlife photographer based in Kenya,125,2068,0
zz_promo_zz,234,Real estate investor | DM for passive income secrets,6,0,1
dev_pete,551,Musician. Coffee addict. ☕,808,2155,0
follow_back_101,180,investment advisor DM me,12,0,1
daniel_f,500,News journalist @NYT,284,619,0
q7w8e9r0t1y2,175,promo available 📩,6,0,1
creative_dan,500,mom of 3 | foodie 🍕,571,1521,0
the_real_sam,1472,mom of 3 | foodie 🍕,141,417,0
a8f7d3k9p2,8,promo available 📩,5,0,1
free_follower_bot,46,follow for follow back,3,0,1
bot_account_7,148,,7,0,1
99882736450,60,promo available 📩,11,0,1
lisa_writes,500,Freelance illustrator | art prints available,775,1643,0
q7w8e9r0t1y2,139,,6,0,1
q7w8e9r0t1y2,70,investment advisor DM me,7,0,1
lena_captures,500,Freelance illustrator | art prints available,573,1590,0
mark_adventure,4183,Architect | sustainable design,69,154,0
journeys_with_kai,671,Environmental activist 🌱,735,689,0
