name,friends,followers,posts,bio,is_verified,has_profile_pic,label
Chris Martin,838,98,847,Musician. Coffee addict. ☕,0,1,0
John Smith,797,50,975,Marketing professional | keynote speaker,0,1,0
Earn Fast,10,43,4,NFT investor | crypto tips,0,0,1
Earn Fast,9,138,6,FREE BTC airdrop → link in bio,0,0,1
Emma Davis,208,138,469,Marketing professional | keynote speaker,0,1,0
Profit King,24,132,1,promo available 📩,0,0,1
Crypto Bob,23,60,3,btc eth airdrop free coins,0,1,1
Investment Guru,11,85,4,btc eth airdrop free coins,0,1,1
Maria Garcia,241,50,136,Developer | Open source enthusiast,0,1,0
Mike Brown,406,50,512,Architect | sustainable design,0,1,0
Emma Davis,745,50,486,software engineer @ Google,0,1,0
Crypto Bob,27,131,1,follow for follow back,0,0,1
Ahmed Hassan,1300,50,794,Dance teacher | choreographer,0,1,0
Priya Sharma,1436,56,205,Dance teacher | choreographer,0,1,0
Mike Brown,352,60,798,Marketing professional | keynote speaker,0,1,0
Yuki Tanaka,621,50,790,UX designer @Meta,0,1,0
Lisa White,1923,50,984,Gaming streamer | Twitch partner 🎮,0,1,0
John Smith,1031,50,863,mom of 3 | foodie 🍕,0,1,0
Sarah Jones,1642,50,74,fitness coach 💪 DM for plans,0,1,0
User 8374,12,125,3,,0,0,1
Bot 9999,2,158,0,btc eth airdrop free coins,0,0,1
User 8374,25,147,6,,0,1,1
Sarah Jones,1015,81,53,Artist | Digital creator ✨,0,1,0
John Smith,1587,56,317,Blogger | Lifestyle & wellness,0,1,0
Profit King,19,22,2,,0,0,1
Yuki Tanaka,1979,815,396,Musician. Coffee addict. ☕,0,1,0
Maria Garcia,65,453,160,software engineer @ Google,0,1,0
User 8374,10,28,0,,0,1,1
Free Follower,13,30,6,📈 passive income daily,0,1,1
User 8374,17,35,7,Click link below 💰,0,0,1
Real Human 001,20,40,3,earn $500/day 👇,0,0,1
Maria Garcia,276,50,75,photographer | travel 📷,0,1,0
Priya Sharma,971,62,114,News journalist @NYT,0,1,0
Click Here Now,5,176,1,,0,1,1
Priya Sharma,1798,50,17,Chef | Recipe creator 🍳,0,1,0
Chris Martin,1773,50,529,UX designer @Meta,0,1,0
Profit King,1,139,2,DM me to grow your account fast,0,0,1
Lisa White,124,50,794,Teacher & lifelong learner 📚,0,1,0
Person 1928,9,24,0,Real estate investor | DM for passive income secrets,0,0,1
Free Follower,13,140,2,,0,0,1
John Smith,1306,50,686,Marketing professional | keynote speaker,0,1,0
Ahmed Hassan,1296,50,510,Freelance illustrator | art prints available,0,1,0
Yuki Tanaka,1547,50,523,Architect | sustainable design,0,1,0
Bot 9999,7,45,0,DM me to grow your account fast,0,0,1
Real Human 001,4,19,0,btc eth airdrop free coins,0,0,1
Crypto Bob,20,37,4,promo available 📩,0,0,1
Earn Fast,23,86,4,,0,1,1
Money Maker,7,62,1,Get free followers — click bio link,0,0,1
Bot 9999,14,68,7,DM me to grow your account fast,0,1,1
Sarah Jones,917,50,693,Architect | sustainable design,0,1,0
Bot 9999,26,197,0,,0,1,1
Ahmed Hassan,183,50,583,Dog lover 🐾 | Hiking | Books,0,1,0
Click Here Now,6,80,7,DM me to grow your account fast,0,1,1
David Clark,1999,50,650,Traveler | 50+ countries visited ✈️,0,1,0
Anna Lee,478,50,75,Retired engineer | amateur astronomer 🔭,0,1,0
Free Follower,12,195,6,,0,0,1
John Smith,1861,50,422,Teacher & lifelong learner 📚,0,1,0
Cristiano Ronaldo,0,127922432,3864,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Bot 9999,4,156,5,,0,0,1
David Clark,1431,50,618,fitness coach 💪 DM for plans,0,1,0
David Clark,1454,229,490,Wildlife photographer based in Kenya,0,1,0
Account 293,0,100,4,btc eth airdrop free coins,0,0,1
David Clark,1865,50,583,Podcaster | interviewing founders,0,1,0
Cristiano Ronaldo,0,155353419,4431,Oscar-winning director | Production company: @StudioX,1,1,0
Mike Brown,1055,98,758,Data scientist | ML researcher,0,1,0
Profit King,26,197,5,earn $500/day 👇,0,0,1
Yuki Tanaka,1413,689,446,Fashion designer | PR welcome,0,1,0
Account 293,6,56,7,Get free followers — click bio link,0,1,1
Lisa White,836,168,410,photographer | travel 📷,0,1,0
Emma Davis,353,50,326,Chef | Recipe creator 🍳,0,1,0
The Rock,0,158881961,865,Iconic musician 🎸 | 40+ years on stage,1,1,0
Click Here Now,21,136,3,,0,0,1
Earn Fast,5,151,4,,0,1,1
Real Human 001,8,112,4,earn $500/day 👇,0,1,1
User 8374,12,82,7,earn $500/day 👇,0,1,1
Free Follower,9,140,6,,0,0,1
Sarah Jones,1641,50,852,Medical student | future doctor 🩺,0,1,0
Investment Guru,16,44,7,investment advisor DM me,0,0,1
Person 1928,12,102,5,,0,0,1
Maria Garcia,705,50,128,Artist | Digital creator ✨,0,1,0
Bot 9999,4,41,7,earn $500/day 👇,0,1,1
Earn Fast,20,62,5,DM me to grow your account fast,0,0,1
Sarah Jones,1412,80,43,Marketing professional | keynote speaker,0,1,0
Profit King,4,96,1,,0,1,1
Ahmed Hassan,790,50,942,Freelance illustrator | art prints available,0,1,0
Bot 9999,24,123,2,📈 passive income daily,0,0,1
John Smith,210,50,775,Musician. Coffee addict. ☕,0,1,0
Person 1928,4,44,2,NFT investor | crypto tips,0,0,1
Person 1928,25,126,6,investment advisor DM me,0,0,1
John Smith,388,53,44,Traveler | 50+ countries visited ✈️,0,1,0
Real Human 001,1,63,7,FREE BTC airdrop → link in bio,0,1,1
Profit King,4,182,6,,0,1,1
Chris Martin,235,194,410,Environmental activist 🌱,0,1,0
Ahmed Hassan,1056,333,907,Data scientist | ML researcher,0,1,0
Free Follower,8,141,6,Click link below 💰,0,0,1
Real Human 001,22,185,5,Get free followers — click bio link,0,0,1
Free Follower,24,193,5,btc eth airdrop free coins,0,0,1
Bot 9999,13,81,3,Real estate investor | DM for passive income secrets,0,1,1
Ahmed Hassan,57,118,608,Chef | Recipe creator 🍳,0,1,0
Priya Sharma,1571,159,983,software engineer @ Google,0,1,0
Person 1928,5,52,2,🔞 link in bio,0,0,1
Lisa White,1491,50,504,Traveler | 50+ countries visited ✈️,0,1,0
Taylor Swift,0,128449777,855,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Anna Lee,1006,312,488,Environmental activist 🌱,0,1,0
Person 1928,28,117,2,📈 passive income daily,0,1,1
David Clark,1973,50,104,Medical student | future doctor 🩺,0,1,0
Yuki Tanaka,566,50,580,fitness coach 💪 DM for plans,0,1,0
Earn Fast,9,50,6,,0,0,1
Account 293,15,191,0,investment advisor DM me,0,0,1
David Clark,1076,85,686,Podcaster | interviewing founders,0,1,0
Kim Kardashian,0,108544589,1864,Professional athlete | Team captain | Brand ambassador,1,1,0
John Smith,869,50,790,Environmental activist 🌱,0,1,0
Emma Davis,789,50,709,Medical student | future doctor 🩺,0,1,0
Yuki Tanaka,60,323,690,Chef | Recipe creator 🍳,0,1,0
Person 1928,12,158,6,btc eth airdrop free coins,0,0,1
Person 1928,2,170,1,,0,0,1
Account 293,21,96,4,crypto signals ✅ 99% win rate,0,0,1
Cristiano Ronaldo,0,120957746,752,Grammy-winning artist 🎵 | New album out now,1,1,0
Crypto Bob,24,17,3,DM me to grow your account fast,0,0,1
Selena Gomez,0,121286961,3201,Professional athlete | Team captain | Brand ambassador,1,1,0
Maria Garcia,1534,616,589,Environmental activist 🌱,0,1,0
Selena Gomez,0,99926497,901,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Lisa White,1922,50,380,Traveler | 50+ countries visited ✈️,0,1,0
Earn Fast,19,9,1,investment advisor DM me,0,0,1
Person 1928,20,49,0,Click link below 💰,0,0,1
Lisa White,529,195,430,mom of 3 | foodie 🍕,0,1,0
Emma Davis,1320,136,248,photographer | travel 📷,0,1,0
Person 1928,22,71,6,investment advisor DM me,0,1,1
Yuki Tanaka,1151,50,69,News journalist @NYT,0,1,0
Taylor Swift,0,61300736,2113,Professional athlete | Team captain | Brand ambassador,1,1,0
Maria Garcia,1350,171,127,Traveler | 50+ countries visited ✈️,0,1,0
Money Maker,24,85,6,DM me to grow your account fast,0,0,1
User 8374,22,77,3,NFT investor | crypto tips,0,1,1
User 8374,1,122,3,Get free followers — click bio link,0,0,1
John Smith,1817,50,112,Freelance illustrator | art prints available,0,1,0
Ariana Grande,0,64079746,573,Official account. For business: manager@agency.com,1,1,0
Money Maker,9,94,3,📈 passive income daily,0,1,1
Sarah Jones,732,377,523,Developer | Open source enthusiast,0,1,0
Earn Fast,17,198,1,,0,0,1
Lisa White,145,337,915,Retired engineer | amateur astronomer 🔭,0,1,0
User 8374,3,174,7,Real estate investor | DM for passive income secrets,0,0,1
Person 1928,7,176,3,DM me to grow your account fast,0,1,1
User 8374,21,11,5,FREE BTC airdrop → link in bio,0,1,1
Ahmed Hassan,202,50,431,Blogger | Lifestyle & wellness,0,1,0
Free Follower,17,146,6,follow for follow back,0,0,1
Maria Garcia,847,85,458,News journalist @NYT,0,1,0
Profit King,1,83,7,♻️ repost to win $1000,0,1,1
Maria Garcia,503,168,699,Nurse practitioner | women's health advocate,0,1,0
Lisa White,163,50,293,Architect | sustainable design,0,1,0
Free Follower,9,40,3,btc eth airdrop free coins,0,1,1
Yuki Tanaka,1110,50,387,photographer | travel 📷,0,1,0
Yuki Tanaka,1272,59,670,Podcaster | interviewing founders,0,1,0
Click Here Now,17,41,1,,0,0,1
Cristiano Ronaldo,0,158939786,3636,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Sarah Jones,1604,69,100,Chef | Recipe creator 🍳,0,1,0
Click Here Now,8,130,6,follow for follow back,0,0,1
John Smith,1060,50,899,photographer | travel 📷,0,1,0
Person 1928,5,158,3,🔞 link in bio,0,0,1
Profit King,0,166,7,📈 passive income daily,0,0,1
David Clark,1568,50,86,Medical student | future doctor 🩺,0,1,0
Earn Fast,18,56,3,investment advisor DM me,0,1,1
Priya Sharma,1571,50,654,UX designer @Meta,0,1,0
Money Maker,15,147,7,promo available 📩,0,0,1
Bot 9999,12,184,0,earn $500/day 👇,0,1,1
Mike Brown,569,183,935,Blogger | Lifestyle & wellness,0,1,0
Yuki Tanaka,1935,91,689,Chef | Recipe creator 🍳,0,1,0
Bot 9999,27,144,6,NFT investor | crypto tips,0,0,1
Real Human 001,16,175,5,FREE BTC airdrop → link in bio,0,0,1
Kim Kardashian,0,109186545,4806,CEO @Fortune500 | Author | Speaker,1,1,0
Free Follower,6,6,4,Real estate investor | DM for passive income secrets,0,0,1
Kim Kardashian,0,24307754,1733,Oscar-winning director | Production company: @StudioX,1,1,0
Click Here Now,18,108,4,Real estate investor | DM for passive income secrets,0,0,1
Bot 9999,19,123,4,btc eth airdrop free coins,0,1,1
Profit King,29,108,2,NFT investor | crypto tips,0,0,1
Yuki Tanaka,1815,68,15,Traveler | 50+ countries visited ✈️,0,1,0
Kim Kardashian,0,132032896,3771,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
John Smith,1215,68,821,photographer | travel 📷,0,1,0
Money Maker,28,72,3,crypto signals ✅ 99% win rate,0,1,1
Investment Guru,3,28,2,FREE BTC airdrop → link in bio,0,1,1
Real Human 001,7,33,1,,0,1,1
Mike Brown,252,92,478,Marketing professional | keynote speaker,0,1,0
Money Maker,14,167,6,,0,0,1
Person 1928,24,162,0,🔞 link in bio,0,0,1
Investment Guru,7,193,0,♻️ repost to win $1000,0,1,1
Priya Sharma,292,69,897,Traveler | 50+ countries visited ✈️,0,1,0
Mike Brown,202,50,514,photographer | travel 📷,0,1,0
Free Follower,13,118,6,DM me to grow your account fast,0,1,1
John Smith,578,177,457,software engineer @ Google,0,1,0
Earn Fast,27,149,5,DM me to grow your account fast,0,1,1
Real Human 001,22,87,4,investment advisor DM me,0,1,1
Emma Davis,1282,150,936,Environmental activist 🌱,0,1,0
Click Here Now,21,114,2,,0,0,1
Real Human 001,24,59,6,,0,1,1
Cristiano Ronaldo,0,173809508,4184,Oscar-winning director | Production company: @StudioX,1,1,0
Mike Brown,1858,50,560,Fashion designer | PR welcome,0,1,0
Money Maker,8,183,6,,0,0,1
Ariana Grande,0,114289840,4066,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
Cristiano Ronaldo,0,98177031,989,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Money Maker,15,81,0,,0,1,1
Bot 9999,27,130,7,🔞 link in bio,0,0,1
User 8374,18,74,7,investment advisor DM me,0,1,1
Click Here Now,29,154,6,,0,1,1
Priya Sharma,1073,240,152,Medical student | future doctor 🩺,0,1,0
Mike Brown,372,50,986,UX designer @Meta,0,1,0
Taylor Swift,0,12625100,957,Oscar-winning director | Production company: @StudioX,1,1,0
Profit King,0,162,7,crypto signals ✅ 99% win rate,0,1,1
Bot 9999,11,167,4,📈 passive income daily,0,0,1
Anna Lee,1007,92,353,Medical student | future doctor 🩺,0,1,0
Mike Brown,273,52,150,News journalist @NYT,0,1,0
Taylor Swift,0,153068973,3820,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Free Follower,20,31,7,♻️ repost to win $1000,0,1,1
Earn Fast,15,125,7,DM me to grow your account fast,0,0,1
Lisa White,437,50,84,software engineer @ Google,0,1,0
Earn Fast,9,196,0,promo available 📩,0,1,1
Account 293,23,81,2,,0,1,1
Profit King,5,185,6,earn $500/day 👇,0,1,1
Priya Sharma,1391,186,805,Gaming streamer | Twitch partner 🎮,0,1,0
Cristiano Ronaldo,0,13967506,2889,International supermodel | Agency: IMG Models,1,1,0
Bot 9999,5,192,1,promo available 📩,0,0,1
Click Here Now,10,133,5,NFT investor | crypto tips,0,1,1
Earn Fast,11,91,4,,0,0,1
John Smith,590,50,124,Traveler | 50+ countries visited ✈️,0,1,0
Free Follower,12,94,3,follow for follow back,0,1,1
Priya Sharma,1545,50,27,Freelance illustrator | art prints available,0,1,0
Click Here Now,25,146,7,,0,0,1
Real Human 001,5,199,5,📈 passive income daily,0,0,1
Click Here Now,24,35,0,investment advisor DM me,0,1,1
Money Maker,2,24,4,crypto signals ✅ 99% win rate,0,1,1
Selena Gomez,0,51408126,1368,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Investment Guru,25,155,2,DM me to grow your account fast,0,0,1
The Rock,0,141477450,2519,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Emma Davis,310,50,956,Retired engineer | amateur astronomer 🔭,0,1,0
Sarah Jones,473,66,61,Artist | Digital creator ✨,0,1,0
David Clark,1091,50,784,software engineer @ Google,0,1,0
Investment Guru,1,159,2,follow for follow back,0,0,1
David Clark,1295,50,768,photographer | travel 📷,0,1,0
Investment Guru,18,52,0,Click link below 💰,0,0,1
Anna Lee,1638,124,255,Environmental activist 🌱,0,1,0
Priya Sharma,729,50,897,Yoga instructor | wellness coach 🧘,0,1,0
David Clark,402,80,680,Traveler | 50+ countries visited ✈️,0,1,0
Click Here Now,8,153,4,,0,0,1
Yuki Tanaka,1365,125,650,Fashion designer | PR welcome,0,1,0
Sarah Jones,1041,563,434,photographer | travel 📷,0,1,0
User 8374,7,59,5,♻️ repost to win $1000,0,1,1
David Clark,1256,156,141,Teacher & lifelong learner 📚,0,1,0
Taylor Swift,0,12866553,1884,Official account. For business: manager@agency.com,1,1,0
Money Maker,27,107,0,follow for follow back,0,1,1
Free Follower,19,166,3,,0,1,1
Person 1928,11,51,7,follow for follow back,0,0,1
John Smith,1454,50,551,UX designer @Meta,0,1,0
Free Follower,3,133,1,promo available 📩,0,1,1
Sarah Jones,1796,490,788,News journalist @NYT,0,1,0
Anna Lee,1428,50,665,Musician. Coffee addict. ☕,0,1,0
Crypto Bob,17,178,5,DM me to grow your account fast,0,0,1
Anna Lee,576,102,37,Yoga instructor | wellness coach 🧘,0,1,0
Real Human 001,12,115,4,🔞 link in bio,0,0,1
Free Follower,21,85,3,♻️ repost to win $1000,0,0,1
David Clark,370,68,637,software engineer @ Google,0,1,0
Selena Gomez,0,166893867,3752,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
Anna Lee,1738,50,12,photographer | travel 📷,0,1,0
Money Maker,2,161,5,follow for follow back,0,0,1
Account 293,24,79,2,📈 passive income daily,0,0,1
Cristiano Ronaldo,0,174829981,4554,Iconic musician 🎸 | 40+ years on stage,1,1,0
Ahmed Hassan,1145,50,535,Marketing professional | keynote speaker,0,1,0
User 8374,27,34,6,NFT investor | crypto tips,0,0,1
Real Human 001,24,196,3,,0,0,1
Click Here Now,24,16,3,Real estate investor | DM for passive income secrets,0,0,1
Free Follower,20,11,3,,0,1,1
Priya Sharma,1503,259,742,Blogger | Lifestyle & wellness,0,1,0
Priya Sharma,1515,56,203,Marketing professional | keynote speaker,0,1,0
Emma Davis,1480,50,60,Artist | Digital creator ✨,0,1,0
Ariana Grande,0,103485585,2651,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
Emma Davis,259,242,714,UX designer @Meta,0,1,0
Yuki Tanaka,1770,87,893,Musician. Coffee addict. ☕,0,1,0
User 8374,14,84,4,,0,1,1
Sarah Jones,1650,50,656,Freelance illustrator | art prints available,0,1,0
Crypto Bob,3,161,4,,0,0,1
Lisa White,402,81,63,Podcaster | interviewing founders,0,1,0
Crypto Bob,26,101,7,Click link below 💰,0,0,1
Earn Fast,0,137,3,,0,0,1
Kim Kardashian,0,48272588,2974,Oscar-winning director | Production company: @StudioX,1,1,0
Profit King,26,194,4,,0,1,1
Earn Fast,15,155,0,🔞 link in bio,0,1,1
Investment Guru,2,80,5,Get free followers — click bio link,0,1,1
Ahmed Hassan,1295,173,704,fitness coach 💪 DM for plans,0,1,0
User 8374,1,42,0,♻️ repost to win $1000,0,1,1
Account 293,16,165,2,,0,1,1
User 8374,24,168,2,DM me to grow your account fast,0,1,1
Investment Guru,16,101,7,,0,1,1
Yuki Tanaka,1226,56,914,Entrepreneur | Founder @startup,0,1,0
Mike Brown,1355,159,103,UX designer @Meta,0,1,0
Real Human 001,24,87,6,NFT investor | crypto tips,0,0,1
Person 1928,4,120,0,FREE BTC airdrop → link in bio,0,1,1
Priya Sharma,346,278,66,Fashion designer | PR welcome,0,1,0
Priya Sharma,1711,50,201,Dance teacher | choreographer,0,1,0
Investment Guru,23,70,0,,0,0,1
Priya Sharma,1852,50,791,Fashion designer | PR welcome,0,1,0
Profit King,23,129,0,btc eth airdrop free coins,0,0,1
Real Human 001,10,177,6,crypto signals ✅ 99% win rate,0,0,1
Account 293,18,39,7,Click link below 💰,0,0,1
David Clark,1515,55,45,Podcaster | interviewing founders,0,1,0
David Clark,538,54,620,Nurse practitioner | women's health advocate,0,1,0
Mike Brown,1947,50,620,Blogger | Lifestyle & wellness,0,1,0
John Smith,922,87,529,Environmental activist 🌱,0,1,0
Real Human 001,5,193,7,♻️ repost to win $1000,0,1,1
Investment Guru,22,53,0,earn $500/day 👇,0,0,1
Anna Lee,296,92,742,Musician. Coffee addict. ☕,0,1,0
Chris Martin,871,50,431,High school teacher | making STEM fun,1,1,0
Mike Brown,1001,199,90,fitness coach 💪 DM for plans,0,1,0
David Clark,526,645,312,Data scientist | ML researcher,0,1,0
Chris Martin,362,194,447,Retired engineer | amateur astronomer 🔭,0,1,0
Emma Davis,207,193,263,Environmental activist 🌱,0,1,0
Chris Martin,270,55,976,Medical student | future doctor 🩺,1,1,0
User 8374,19,180,6,earn $500/day 👇,0,0,1
Crypto Bob,10,199,2,earn $500/day 👇,0,0,1
David Clark,945,56,389,fitness coach 💪 DM for plans,0,1,0
Earn Fast,7,179,6,,0,0,1
Money Maker,28,102,1,,0,1,1
Lisa White,1181,95,835,UX designer @Meta,0,1,0
Yuki Tanaka,1110,302,742,Developer | Open source enthusiast,0,1,0
Click Here Now,5,151,2,crypto signals ✅ 99% win rate,0,0,1
Yuki Tanaka,1544,50,909,Yoga instructor | wellness coach 🧘,0,1,0
Taylor Swift,0,11085645,4831,International supermodel | Agency: IMG Models,1,1,0
Bot 9999,7,43,4,,0,0,1
David Clark,255,50,261,High school teacher | making STEM fun,0,1,0
Kim Kardashian,0,103804551,3886,Official account. For business: manager@agency.com,1,1,0
Selena Gomez,0,133214073,1473,Official account. For business: manager@agency.com,1,1,0
Bot 9999,6,169,7,follow for follow back,0,0,1
Lisa White,1547,50,69,Architect | sustainable design,0,1,0
Priya Sharma,1160,50,944,Blogger | Lifestyle & wellness,0,1,0
Free Follower,8,184,1,earn $500/day 👇,0,0,1
Chris Martin,715,50,704,Gaming streamer | Twitch partner 🎮,0,1,0
User 8374,16,193,7,,0,1,1
Real Human 001,19,159,4,♻️ repost to win $1000,0,1,1
Money Maker,15,154,6,,0,0,1
Click Here Now,9,195,0,Real estate investor | DM for passive income secrets,0,0,1
Person 1928,16,134,6,FREE BTC airdrop → link in bio,0,1,1
Profit King,17,165,1,crypto signals ✅ 99% win rate,0,0,1
David Clark,1041,384,816,Environmental activist 🌱,0,1,0
Free Follower,20,116,0,investment advisor DM me,0,0,1
Crypto Bob,22,122,0,,0,0,1
Chris Martin,67,50,239,News journalist @NYT,0,1,0
Crypto Bob,10,81,0,crypto signals ✅ 99% win rate,0,0,1
Bot 9999,7,0,4,Real estate investor | DM for passive income secrets,0,0,1
Account 293,2,159,1,,0,0,1
Yuki Tanaka,660,50,918,Nurse practitioner | women's health advocate,0,1,0
Ahmed Hassan,742,50,364,Musician. Coffee addict. ☕,0,1,0
Free Follower,3,138,2,NFT investor | crypto tips,0,1,1
Mike Brown,395,50,170,Podcaster | interviewing founders,0,1,0
Ariana Grande,0,46601459,649,Nobel Peace Prize laureate | Activist,1,1,0
Money Maker,29,150,4,crypto signals ✅ 99% win rate,0,0,1
John Smith,1973,50,521,fitness coach 💪 DM for plans,0,1,0
Crypto Bob,11,51,6,promo available 📩,0,0,1
John Smith,1974,418,434,Chef | Recipe creator 🍳,0,1,0
Maria Garcia,1888,98,970,fitness coach 💪 DM for plans,0,1,0
Earn Fast,12,4,1,,0,0,1
Anna Lee,1512,50,430,Entrepreneur | Founder @startup,0,1,0
