username,followers,following,posts,bio,is_verified,has_profile_pic,label
mindful_maya,70,95,5,Podcaster | interviewing founders,0,1,0
botanist_beth,50,84,11,Retired engineer | amateur astronomer 🔭,0,1,0
billgates933,1930856,48,13,Official fan account,0,1,1
nina_art,103,170,7,Developer | Open source enthusiast,0,1,0
oprah,221275000,1784,902,Fashion icon | Creative Director @LuxuryBrand,1,1,0
elonmusk763,519838,8,36,Official fan account,0,1,1
surf_with_evan,50,104,24,News journalist @NYT,0,1,0
justinbieber594,1687865,8,20,Official fan account,0,1,1
code_master,938623,359,2403,Environmental activist 🌱,0,1,0
b.scott.official,50,116,5,Marketing professional | keynote speaker,0,1,0
airdrop_winner99,43,4632,3,🔞 link in bio,0,1,1
lisa_writes,190625,4,0,,0,1,1
cristiano,206611849,1440,3839,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
grace_beauty,449226,58,5,investment advisor DM me,0,0,1
photo_by_anna,111,62,5,Teacher & lifelong learner 📚,0,1,0
photo_by_anna,71,32,21,Teacher & lifelong learner 📚,0,1,0
lena_captures,369543,81,12,DM me to grow your account fast,0,0,1
free_followers_now,26,3019,0,,0,1,1
free_follower_bot,9,5355,3,NFT investor | crypto tips,0,0,1
dev_pete,50,56,36,High school teacher | making STEM fun,0,1,0
justinbieber951,203932,14,45,Official fan account,0,1,1
earn_fast_2024,2915,2749,5475,Get free followers — click bio link,0,1,1
realmadrid852,719410,3,27,Official fan account,0,1,1
paul_runs,472533,98,2,,0,1,1
botanist_beth,172661,2639,2664,Environmental activist 🌱,0,1,0
earn_fast_2024,6590,2141,1485,,0,1,1
jeffbezos693,1939481,30,17,Official fan account,0,1,1
photo_by_anna,50,66,5,News journalist @NYT,0,1,0
chris_builds,860714,1044,2241,Nurse practitioner | women's health advocate,0,1,0
nft_dropper_69,5516,5126,5030,,0,1,1
chef_marco,50,40,22,Data scientist | ML researcher,0,1,0
paul_runs,50,56,5,Architect | sustainable design,0,1,0
b.scott.official,50,111,5,Teacher & lifelong learner 📚,0,1,0
billgates,196077483,700,1457,Oscar-winning director | Production company: @StudioX,1,1,0
a8f7d3k9p2,47,5821,3,,0,0,1
paul_runs,23368,52,0,,0,1,1
alex_travel,109,101,23,Data scientist | ML researcher,0,1,0
mike_2023,50,80,5,Chef | Recipe creator 🍳,0,1,0
selenagomez,11373196,1661,574,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
emma.j,50,30,6,mom of 3 | foodie 🍕,0,1,0
alex_travel,474372,53,13,Real estate investor | DM for passive income secrets,0,1,1
follow_back_101,3441,4602,6517,NFT investor | crypto tips,0,1,1
beyonce,151932653,1828,1733,International supermodel | Agency: IMG Models,1,1,0
nina_art,393429,1686,1531,Entrepreneur | Founder @startup,0,1,0
fcbarcelona,36646040,354,4754,Professional athlete | Team captain | Brand ambassador,1,1,0
b.scott.official,458655,584,2964,Environmental activist 🌱,0,1,0
elonmusk578,263756,5,33,Official fan account,0,1,1
acc29471838,4138,2522,4171,NFT investor | crypto tips,0,1,1
nasa,135424030,906,1761,Oscar-winning director | Production company: @StudioX,1,1,0
journeys_with_kai,930611,1040,1682,Chef | Recipe creator 🍳,0,1,0
lena_captures,50,110,9,Blogger | Lifestyle & wellness,0,1,0
paul_runs,366725,583,446,Fashion designer | PR welcome,0,1,0
grace_beauty,182,177,11,Freelance illustrator | art prints available,0,1,0
neymarjr422,1773389,46,39,Official fan account,0,1,1
everyday_elena,91,119,7,Yoga instructor | wellness coach 🧘,0,1,0
user8374629,2379,5995,3400,crypto signals ✅ 99% win rate,0,1,1
alex_travel,454713,204,940,fitness coach 💪 DM for plans,0,1,0
lisa_writes,926093,714,2637,Yoga instructor | wellness coach 🧘,0,1,0
therock215,496250,4,33,Official fan account,0,1,1
acc29471838,1023,5350,7061,,0,1,1
photo_by_anna,170,236,5,mom of 3 | foodie 🍕,0,1,0
airdrop_winner99,0,3824,4,Real estate investor | DM for passive income secrets,0,1,1
crypto_king_9999,821,5466,1268,NFT investor | crypto tips,0,1,1
arianagrande,280877027,412,2805,Official account. For business: manager@agency.com,1,1,0
billgates914,644944,44,5,Official fan account,0,1,1
earn_fast_2024,60,3116,0,,0,0,1
mike_2023,578929,1055,581,News journalist @NYT,0,1,0
crypto_king_9999,5920,7051,6716,DM me to grow your account fast,0,1,1
daniel_f,171,243,5,Nurse practitioner | women's health advocate,0,1,0
beyonce456,1330273,24,35,Official fan account,0,1,1
neymarjr,239248309,542,1870,CEO @Fortune500 | Author | Speaker,1,1,0
chef_marco,576761,841,1035,Fashion designer | PR welcome,0,1,0
beyonce408,236176,36,26,Official fan account,0,1,1
billgates416,1018778,40,13,Official fan account,0,1,1
follow_back_101,5849,5496,7735,,0,1,1
xXx_profit_xXx,54,6765,1,,0,1,1
code_master,50,87,5,Marketing professional | keynote speaker,0,1,0
lisa_writes,50,105,5,Retired engineer | amateur astronomer 🔭,0,1,0
99882736450,61,6967,3,📈 passive income daily,0,0,1
arianagrande937,1776151,47,6,Official fan account,0,1,1
botanist_beth,50,111,6,software engineer @ Google,0,1,0
xXx_profit_xXx,11,3395,4,crypto signals ✅ 99% win rate,0,0,1
daniel_f,847017,2558,1149,Yoga instructor | wellness coach 🧘,1,1,0
sarah_smith,859858,1214,103,photographer | travel 📷,0,1,0
amy_joy,649551,913,789,Artist | Digital creator ✨,0,1,0
99882736450,1456,3730,2453,,0,1,1
daniel_f,621079,307,2813,Wildlife photographer based in Kenya,0,1,0
lena_captures,89,63,5,High school teacher | making STEM fun,0,1,0
real_human_01234,10,5896,4,,0,1,1
creative_dan,765488,337,2732,Teacher & lifelong learner 📚,0,1,0
realmadrid187,847113,8,37,Official fan account,0,1,1
99882736450,5865,5409,1633,DM me to grow your account fast,0,1,1
photo_by_anna,417131,75,11,crypto signals ✅ 99% win rate,0,0,1
acc29471838,4,4907,0,,0,1,1
alex_travel,50,87,5,mom of 3 | foodie 🍕,0,1,0
mike_2023,108,244,5,High school teacher | making STEM fun,0,1,0
john_doe,192955,1850,1774,Data scientist | ML researcher,0,1,0
neymarjr961,1205055,31,6,Official fan account,0,1,1
xXx_profit_xXx,49,6696,1,promo available 📩,0,0,1
chris_builds,50,102,5,Podcaster | interviewing founders,0,1,0
earn_fast_2024,6506,3867,2913,,0,1,1
b.scott.official,50,78,6,Developer | Open source enthusiast,0,1,0
sarah_smith,382,824,5,Environmental activist 🌱,0,1,0
amy_joy,112,270,15,Dance teacher | choreographer,0,1,0
bot_account_7,7489,3556,6905,investment advisor DM me,0,1,1
user8374629,77,4039,0,promo available 📩,0,1,1
bot_account_7,1699,6240,5439,♻️ repost to win $1000,0,1,1
daniel_f,50,93,10,Gaming streamer | Twitch partner 🎮,0,1,0
earn_fast_2024,506,6534,4801,,0,1,1
fcbarcelona,48125882,380,705,Fashion icon | Creative Director @LuxuryBrand,1,1,0
billgates,72586973,1370,862,CEO @Fortune500 | Author | Speaker,1,1,0
oprah552,813453,9,15,Official fan account,0,1,1
lisa_writes,481049,1727,2239,Fashion designer | PR welcome,0,1,0
beyonce361,1007567,6,7,Official fan account,0,1,1
tom_techie,50,85,5,Developer | Open source enthusiast,0,1,0
nina_art,115,72,5,Fashion designer | PR welcome,0,1,0
free_follower_bot,10,6523,3,DM me to grow your account fast,0,0,1
realmadrid948,1498581,5,25,Official fan account,0,1,1
mike_2023,132,132,18,Podcaster | interviewing founders,0,1,0
chef_marco,50,33,5,Musician. Coffee addict. ☕,0,1,0
creative_dan,237787,58,2,,0,1,1
lisa_writes,50,46,5,UX designer @Meta,0,1,0
taylorswift38,1023482,2,28,Official fan account,0,1,1
billgates362,426027,30,30,Official fan account,0,1,1
grace_beauty,50,28,33,Medical student | future doctor 🩺,0,1,0
photo_by_anna,224197,957,1480,UX designer @Meta,0,1,0
john_doe,50,111,5,High school teacher | making STEM fun,0,1,0
chef_marco,102077,986,2646,software engineer @ Google,0,1,0
bot_account_7,29,6777,4,follow for follow back,0,0,1
kimkardashian214,1883826,41,30,Official fan account,0,1,1
acc29471838,3822,5520,2859,NFT investor | crypto tips,0,1,1
real_human_01234,49,3173,2,♻️ repost to win $1000,0,1,1
the_real_sam,372232,1225,2230,Retired engineer | amateur astronomer 🔭,0,1,0
dev_pete,50,62,26,Freelance illustrator | art prints available,0,1,0
nasa,125326413,179,1143,Nobel Peace Prize laureate | Activist,1,1,0
selenagomez,95824528,1910,3283,Professional athlete | Team captain | Brand ambassador,1,1,0
lisa_writes,86,193,7,Gaming streamer | Twitch partner 🎮,0,1,0
billgates,29313713,1294,696,Oscar-winning director | Production company: @StudioX,1,1,0
botanist_beth,56,44,6,Medical student | future doctor 🩺,0,1,0
realmadrid256,1187952,49,14,Official fan account,0,1,1
neymarjr140,755754,11,24,Official fan account,0,1,1
fit_jessica,50,81,5,Artist | Digital creator ✨,0,1,0
billgates,125649921,541,1889,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
dev_pete,50,43,45,fitness coach 💪 DM for plans,0,1,0
b.scott.official,50,74,5,Architect | sustainable design,0,1,0
emma.j,818091,1415,541,Dance teacher | choreographer,0,1,0
elonmusk282,1508767,19,42,Official fan account,0,1,1
surf_with_evan,110,241,5,Dance teacher | choreographer,0,1,0
9182736450,4753,5332,4007,,0,1,1
grace_beauty,50,23,5,Traveler | 50+ countries visited ✈️,0,1,0
elonmusk493,628845,34,45,Official fan account,0,1,1
photo_by_anna,836433,1273,1595,Environmental activist 🌱,0,1,0
journeys_with_kai,55,107,5,Nurse practitioner | women's health advocate,0,1,0
lena_captures,182617,5,11,🔞 link in bio,0,1,1
acc29471838,49,6389,3,follow for follow back,0,0,1
the_real_sam,934092,1296,2341,Dog lover 🐾 | Hiking | Books,0,1,0
emma.j,328563,13,14,NFT investor | crypto tips,0,0,1
jeffbezos674,1165620,19,43,Official fan account,0,1,1
the_real_sam,563571,997,2893,Medical student | future doctor 🩺,0,1,0
beyonce,90340589,1941,4964,Grammy-winning artist 🎵 | New album out now,1,1,0
surf_with_evan,278028,2609,2278,Teacher & lifelong learner 📚,0,1,0
fit_jessica,689131,807,660,Freelance illustrator | art prints available,0,1,0
therock,95462786,1566,1877,International supermodel | Agency: IMG Models,1,1,0
mindful_maya,55,28,15,News journalist @NYT,0,1,0
selenagomez917,648300,19,23,Official fan account,0,1,1
lena_captures,50,35,5,Developer | Open source enthusiast,0,1,0
journeys_with_kai,50,36,5,Retired engineer | amateur astronomer 🔭,0,1,0
get_rich_88,1509,5480,3000,,0,1,1
tom_techie,50,64,5,Yoga instructor | wellness coach 🧘,0,1,0
paul_runs,50,117,5,News journalist @NYT,0,1,0
kimkardashian,4678503,963,3696,Oscar-winning director | Production company: @StudioX,1,1,0
paul_runs,50,98,9,Musician. Coffee addict. ☕,0,1,0
surf_with_evan,354710,67,0,follow for follow back,0,1,1
amy_joy,208301,8,6,,0,1,1
tom_techie,453954,2511,1360,Data scientist | ML researcher,1,1,0
sarah_smith,394,756,14,Fashion designer | PR welcome,0,1,0
botanist_beth,50,36,5,Retired engineer | amateur astronomer 🔭,0,1,0
earn_fast_2024,3089,3108,3631,📈 passive income daily,0,1,1
sarah_smith,50,31,16,Traveler | 50+ countries visited ✈️,0,1,0
arianagrande,31917487,1216,4029,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
code_master,370289,69,1,Click link below 💰,0,0,1
lena_captures,341313,3,3,NFT investor | crypto tips,0,0,1
mark_adventure,50,58,10,Medical student | future doctor 🩺,0,1,0
daniel_f,302113,47,5,crypto signals ✅ 99% win rate,0,0,1
everyday_elena,439485,567,1063,Musician. Coffee addict. ☕,0,1,0
oprah44,1072896,19,44,Official fan account,0,1,1
nft_dropper_69,542,3461,5137,♻️ repost to win $1000,0,1,1
tom_techie,328837,1472,2907,Medical student | future doctor 🩺,0,1,0
acc29471838,3713,5874,6042,crypto signals ✅ 99% win rate,0,1,1
therock800,830698,38,5,Official fan account,0,1,1
photo_by_anna,160,336,18,Marketing professional | keynote speaker,0,1,0
bot_account_7,6601,7211,5212,NFT investor | crypto tips,0,1,1
sarah_smith,942559,861,1732,software engineer @ Google,1,1,0
xXx_profit_xXx,30,7225,1,NFT investor | crypto tips,0,0,1
airdrop_winner99,864,6609,4472,♻️ repost to win $1000,0,1,1
elonmusk194,409424,3,48,Official fan account,0,1,1
lisa_writes,112,139,5,photographer | travel 📷,0,1,0
acc29471838,11,6582,2,,0,0,1
chef_marco,556563,211,2780,photographer | travel 📷,0,1,0
jeffbezos376,1637764,17,24,Official fan account,0,1,1
chef_marco,173631,1472,564,fitness coach 💪 DM for plans,0,1,0
grace_beauty,228,300,5,Traveler | 50+ countries visited ✈️,0,1,0
fit_jessica,590605,1661,2718,Chef | Recipe creator 🍳,0,1,0
amy_joy,451939,12,8,crypto signals ✅ 99% win rate,0,1,1
user8374629,3237,3760,1242,Click link below 💰,0,1,1
realmadrid,73981287,1887,509,International supermodel | Agency: IMG Models,1,1,0
mindful_maya,362645,52,14,FREE BTC airdrop → link in bio,0,1,1
9182736450,68,3743,3,,0,0,1
kyliejenner189,1659355,14,37,Official fan account,0,1,1
oprah841,123243,21,19,Official fan account,0,1,1
beyonce,174753866,479,4362,Oscar-winning director | Production company: @StudioX,1,1,0
daniel_f,276446,4,0,🔞 link in bio,0,1,1
the_real_sam,181450,76,5,DM me to grow your account fast,0,1,1
lisa_writes,139517,84,0,crypto signals ✅ 99% win rate,0,0,1
jeffbezos,155282670,1625,2150,Oscar-winning director | Production company: @StudioX,1,1,0
fit_jessica,289,196,5,Marketing professional | keynote speaker,0,1,0
chris_builds,490,707,5,mom of 3 | foodie 🍕,0,1,0
everyday_elena,907033,2986,2580,Entrepreneur | Founder @startup,0,1,0
lisa_writes,281685,96,5,,0,1,1
q7w8e9r0t1y2,3,4511,1,,0,0,1
chris_builds,291947,11,7,🔞 link in bio,0,1,1
code_master,186,206,6,mom of 3 | foodie 🍕,0,1,0
fit_jessica,951921,905,2230,photographer | travel 📷,0,1,0
tom_techie,64,22,7,Developer | Open source enthusiast,0,1,0
chris_builds,301338,60,11,,0,1,1
nike302,146111,31,45,Official fan account,0,1,1
nina_art,556,743,5,News journalist @NYT,0,1,0
billgates,277769209,733,350,Iconic musician 🎸 | 40+ years on stage,1,1,0
chris_builds,50,120,22,Blogger | Lifestyle & wellness,0,1,0
billgates461,1852819,5,8,Official fan account,0,1,1
daniel_f,50,22,5,Yoga instructor | wellness coach 🧘,0,1,0
mindful_maya,50,59,12,Wildlife photographer based in Kenya,0,1,0
neymarjr14,860646,32,18,Official fan account,0,1,1
john_doe,50,76,5,Data scientist | ML researcher,0,1,0
botanist_beth,304703,54,12,🔞 link in bio,0,1,1
airdrop_winner99,2182,6094,5850,investment advisor DM me,0,1,1
natgeo,241624542,836,4521,Professional athlete | Team captain | Brand ambassador,1,1,0
mark_adventure,50,118,5,Podcaster | interviewing founders,0,1,0
follow_back_101,56,5206,0,,0,0,1
amy_joy,343628,45,10,NFT investor | crypto tips,0,1,1
creative_dan,50,119,5,UX designer @Meta,0,1,0
the_real_sam,50,50,6,Fashion designer | PR welcome,1,1,0
mark_adventure,159252,97,6,investment advisor DM me,0,0,1
selenagomez,284371707,160,876,Official account. For business: manager@agency.com,1,1,0
mindful_maya,965941,1822,1185,fitness coach 💪 DM for plans,0,1,0
q7w8e9r0t1y2,10,3285,3,📈 passive income daily,0,0,1
botanist_beth,461541,79,6,,0,1,1
9182736450,19,4351,2,,0,0,1
chef_marco,114,195,7,News journalist @NYT,0,1,0
therock,2636538,397,542,Oscar-winning director | Production company: @StudioX,1,1,0
dev_pete,327719,25,14,crypto signals ✅ 99% win rate,0,0,1
code_master,50,95,12,Architect | sustainable design,0,1,0
crypto_king_9999,24,5048,0,earn $500/day 👇,0,1,1
mike_2023,384028,20,4,investment advisor DM me,0,0,1
realmadrid,141328753,386,1739,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
the_real_sam,122,153,51,Dog lover 🐾 | Hiking | Books,0,1,0
free_followers_now,10,3442,4,,0,1,1
xXx_profit_xXx,7410,2172,2022,btc eth airdrop free coins,0,1,1
botanist_beth,365279,2541,650,photographer | travel 📷,0,1,0
free_followers_now,1794,7149,4497,btc eth airdrop free coins,0,1,1
follow_back_101,8,4376,4,Click link below 💰,0,0,1
chris_builds,92,96,5,High school teacher | making STEM fun,0,1,0
bot_account_7,6739,3016,1522,,0,1,1
kyliejenner74,1598872,27,40,Official fan account,0,1,1
code_master,247720,29,14,Real estate investor | DM for passive income secrets,0,0,1
botanist_beth,65,24,5,Traveler | 50+ countries visited ✈️,0,1,0
paul_runs,502,594,13,Freelance illustrator | art prints available,0,1,0
code_master,50,69,6,Marketing professional | keynote speaker,0,1,0
dev_pete,283655,8,11,,0,1,1
emma.j,254948,2639,897,Retired engineer | amateur astronomer 🔭,1,1,0
natgeo,150146270,1109,2729,Grammy-winning artist 🎵 | New album out now,1,1,0
grace_beauty,335928,61,14,🔞 link in bio,0,0,1
tim_cook,280846006,361,4811,Fashion icon | Creative Director @LuxuryBrand,1,1,0
nasa,24680023,1191,3283,CEO @Fortune500 | Author | Speaker,1,1,0
dev_pete,133,193,8,Teacher & lifelong learner 📚,0,1,0
acc29471838,60,6369,0,📈 passive income daily,0,0,1
chef_marco,69,24,9,Gaming streamer | Twitch partner 🎮,0,1,0
lisa_writes,60538,69,2,Get free followers — click bio link,0,1,1
grace_beauty,50,69,12,Musician. Coffee addict. ☕,0,1,0
billgates,176903568,702,4626,Official account. For business: manager@agency.com,1,1,0
chef_marco,864491,2589,1646,Medical student | future doctor 🩺,1,1,0
emma.j,50,36,5,Traveler | 50+ countries visited ✈️,0,1,0
airdrop_winner99,63,3664,1,btc eth airdrop free coins,0,0,1
follow_back_101,35,6300,2,,0,0,1
99882736450,7082,6499,3581,crypto signals ✅ 99% win rate,0,1,1
john_doe,208,359,26,UX designer @Meta,0,1,0
journeys_with_kai,58,105,6,software engineer @ Google,0,1,0
surf_with_evan,50,81,16,Gaming streamer | Twitch partner 🎮,0,1,0
justinbieber,231316762,974,2816,Fashion icon | Creative Director @LuxuryBrand,1,1,0
botanist_beth,27334,51,6,♻️ repost to win $1000,0,1,1
tom_techie,241184,53,4,,0,0,1
the_real_sam,50,55,5,Dance teacher | choreographer,0,1,0
bot_account_7,11,5410,2,DM me to grow your account fast,0,1,1
taylorswift,189618839,437,340,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
dev_pete,50,90,123,mom of 3 | foodie 🍕,0,1,0
alex_travel,782580,1373,2780,News journalist @NYT,1,1,0
grace_beauty,50,87,5,Data scientist | ML researcher,0,1,0
free_followers_now,6447,6470,6966,,0,1,1
photo_by_anna,817759,587,2129,Dance teacher | choreographer,1,1,0
botanist_beth,225978,5,3,,0,0,1
code_master,60,101,5,Teacher & lifelong learner 📚,0,1,0
natgeo697,318230,7,12,Official fan account,0,1,1
mike_2023,50,43,6,Developer | Open source enthusiast,0,1,0
kimkardashian,81956866,1448,2755,Fashion icon | Creative Director @LuxuryBrand,1,1,0
emma.j,466592,757,2571,Yoga instructor | wellness coach 🧘,0,1,0
nft_dropper_69,2001,3314,3649,DM me to grow your account fast,0,1,1
emma.j,50,98,22,Chef | Recipe creator 🍳,0,1,0
natgeo944,443878,33,47,Official fan account,0,1,1
elonmusk,283861311,672,2266,CEO @Fortune500 | Author | Speaker,1,1,0
get_rich_88,4052,5204,5328,,0,1,1
neymarjr234,1173215,5,11,Official fan account,0,1,1
mindful_maya,304910,52,14,investment advisor DM me,0,1,1
justinbieber986,380923,10,27,Official fan account,0,1,1
chris_builds,703203,368,601,Dance teacher | choreographer,0,1,0
mark_adventure,50,30,47,Dance teacher | choreographer,0,1,0
chris_builds,193,219,6,Musician. Coffee addict. ☕,0,1,0
journeys_with_kai,256,293,5,Podcaster | interviewing founders,0,1,0
justinbieber136,711258,24,26,Official fan account,0,1,1
elonmusk756,1391133,18,18,Official fan account,0,1,1
everyday_elena,50,98,6,Artist | Digital creator ✨,0,1,0
daniel_f,163941,26,6,,0,1,1
